Time,Open,High,Low,Last,Change,Volume
10/22/2019 7:00,82.862,82.941,82.725,82.748,-0.115,10196
10/22/2019 6:00,82.945,82.946,82.862,82.863,-0.079,6171
10/22/2019 5:00,82.993,82.996,82.923,82.942,-0.051,5605
10/22/2019 4:00,82.966,83.008,82.934,82.993,0.027,5415
10/22/2019 3:00,82.921,82.968,82.867,82.966,0.046,6984
10/22/2019 2:00,82.967,82.977,82.898,82.92,-0.047,4075
10/22/2019 1:00,82.999,83.02,82.967,82.967,-0.032,4802
10/22/2019 0:00,83.043,83.076,82.998,82.999,-0.044,4332
10/21/2019 23:00,83.043,83.062,83.025,83.043,0,3377
10/21/2019 22:00,83.048,83.05,83.023,83.043,-0.005,3640
10/21/2019 21:00,83.048,83.056,82.995,83.048,0,5528
10/21/2019 20:00,83.072,83.162,83.047,83.048,-0.024,5634
10/21/2019 19:00,82.976,83.101,82.964,83.072,0.096,5324
10/21/2019 18:00,82.962,82.983,82.952,82.976,0.014,3002
10/21/2019 17:00,82.924,82.977,82.924,82.962,0.039,2923
10/21/2019 16:00,82.969,82.971,82.884,82.923,-0.045,4032
10/21/2019 15:00,83.024,83.025,82.948,82.968,-0.056,2822
10/21/2019 14:00,82.987,83.031,82.974,83.024,0.037,4853
10/21/2019 13:00,82.927,82.997,82.927,82.987,0.06,5813
10/21/2019 12:00,82.94,82.943,82.898,82.927,-0.014,5620
10/21/2019 11:00,82.873,82.946,82.853,82.941,0.067,7675
10/21/2019 10:00,82.855,82.895,82.823,82.874,0.02,8621
10/21/2019 9:00,82.767,82.856,82.738,82.854,0.087,11743
10/21/2019 8:00,82.804,82.807,82.696,82.767,-0.036,10725
10/21/2019 7:00,82.811,82.881,82.791,82.803,-0.008,7651
10/21/2019 6:00,82.845,82.845,82.781,82.811,-0.034,6049
10/21/2019 5:00,82.852,82.872,82.832,82.845,-0.007,5475
10/21/2019 4:00,82.805,82.852,82.771,82.852,0.046,7088
10/21/2019 3:00,82.706,82.865,82.705,82.806,0.099,9352
10/21/2019 2:00,82.614,82.716,82.568,82.707,0.093,10030
10/21/2019 1:00,82.6,82.661,82.576,82.614,0.015,8247
10/21/2019 0:00,82.647,82.654,82.583,82.599,-0.047,4465
10/20/2019 23:00,82.611,82.662,82.61,82.646,0.035,3583
10/20/2019 22:00,82.598,82.62,82.577,82.611,0.013,3372
10/20/2019 21:00,82.593,82.623,82.58,82.598,0.004,4801
10/20/2019 20:00,82.624,82.624,82.563,82.594,-0.03,6808
10/20/2019 19:00,82.541,82.63,82.527,82.624,0.083,5907
10/20/2019 18:00,82.509,82.541,82.487,82.541,0.033,2922
10/20/2019 17:00,82.527,82.552,82.441,82.508,-0.018,2019
10/20/2019 16:00,82.511,82.581,82.499,82.526,0.013,528
10/20/2019 15:00,82.535,82.535,82.506,82.513,-0.045,128
10/18/2019 15:00,82.606,82.623,82.548,82.558,-0.048,4426
10/18/2019 14:00,82.645,82.657,82.592,82.606,-0.038,6411
10/18/2019 13:00,82.654,82.656,82.6,82.644,-0.01,6146
10/18/2019 12:00,82.591,82.656,82.581,82.654,0.063,7720
10/18/2019 11:00,82.563,82.609,82.457,82.591,0.028,9810
10/18/2019 10:00,82.628,82.651,82.549,82.563,-0.065,9810
10/18/2019 9:00,82.577,82.632,82.533,82.628,0.051,11161
10/18/2019 8:00,82.615,82.616,82.513,82.577,-0.038,11446
10/18/2019 7:00,82.658,82.663,82.582,82.615,-0.042,7785
10/18/2019 6:00,82.724,82.735,82.637,82.657,-0.064,6836
10/18/2019 5:00,82.692,82.722,82.633,82.721,0.029,5783
10/18/2019 4:00,82.751,82.756,82.686,82.692,-0.059,6207
10/18/2019 3:00,82.706,82.77,82.697,82.751,0.045,7537
10/18/2019 2:00,82.622,82.72,82.598,82.706,0.084,8646
10/18/2019 1:00,82.569,82.651,82.565,82.622,0.054,6770
